test_id,test_name,image_sha256,dc_link_v,aux_steval1,aux_steval2,sd1_pb12_level,sd2_pd2_level,tim1_bif_b2if,tim8_bif_b2if,tim1_moe,tim8_moe,protect_reason,clear_result,scope_evidence_file,register_console_evidence_file,status,operator,reviewer,date_utc,notes
T0',safe_configuration,,,,,,,,,,,,,,,,,,,,
T1',continuity_and_wiring,,,,,,,,,,,,,,,,,,,,
T2',unpowered_modules_default_deny,,,,,,,,,,,,,,,,,,,,
T3',aux_logic_sd_idle_levels,,,,,,,,,,,,,,,,,,,,
T4a',steval1_uvlo_sd1_break_latch,,,,,,,,,,,,,,,,,,,,
T4b',steval2_uvlo_sd2_break_latch,,,,,,,,,,,,,,,,,,,,
T5',removed_interposer_pins_undriven,,,,,,,,,,,,,,,,,,,,
T6b',iwdg_reset_to_default_deny,,,,,,,,,,,,,,,,,,,,
T7',mcu_reset_and_logic_power_cycle,,,,,,,,,,,,,,,,,,,,
T8a',open_drain_sd1_injection,,,,,,,,,,,,,,,,,,,,
T8b',open_drain_sd2_injection,,,,,,,,,,,,,,,,,,,,
T9a',swd_tim1_moe_hardware_break,,,,,,,,,,,,,,,,,,,,
T9b',swd_tim8_moe_hardware_break,,,,,,,,,,,,,,,,,,,,
