elapsed_s,head_datalen,head_elapsed_s,head_ok,head_plen,head_raw_len,idn_len,idn_ok,idn_str,iter,live,ts
1.502,1520,1790156824.851,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",1,True,1790156823.349492
1.502,1520,1790156826.353,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",2,True,1790156824.8512192
1.503,1520,1790156827.856,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",3,True,1790156826.3528943
1.502,1520,1790156829.358,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",4,True,1790156827.855738
1.502,1520,1790156830.86,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",5,True,1790156829.358092
1.502,1520,1790156832.362,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",6,True,1790156830.8601282
1.502,1520,1790156833.864,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",7,True,1790156832.3624573
1.502,1520,1790156835.366,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",8,True,1790156833.8641064
1.501,1520,1790156836.868,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",9,True,1790156835.3664162
1.503,1520,1790156838.37,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",10,True,1790156836.8676934
1.502,1520,1790156839.872,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",11,True,1790156838.3703973
1.503,1520,1790156841.375,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",12,True,1790156839.872085
1.502,1520,1790156842.877,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",13,True,1790156841.3749294
1.502,1520,1790156844.379,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",14,True,1790156842.8773952
1.502,1520,1790156845.881,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",15,True,1790156844.3789659
1.503,1520,1790156847.384,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",16,True,1790156845.881432
1.502,1520,1790156848.886,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",17,True,1790156847.3841677
1.502,1520,1790156850.388,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",18,True,1790156848.8859234
1.503,1520,1790156851.891,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",19,True,1790156850.388105
1.502,1520,1790156853.393,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",20,True,1790156851.890947
1.502,1520,1790156854.895,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",21,True,1790156853.3927386
1.503,1520,1790156856.398,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",22,True,1790156854.8952425
1.502,1520,1790156857.9,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",23,True,1790156856.3978858
1.502,1520,1790156859.402,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",24,True,1790156857.8995776
1.502,1520,1790156860.904,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",25,True,1790156859.401839
1.503,1520,1790156862.406,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",26,True,1790156860.9035976
