ch1_elapsed_s,ch1_ok,ch1_plen,ch1_raw_len,ch2_elapsed_s,ch2_ok,ch2_plen,ch2_raw_len,ch3_elapsed_s,ch3_ok,ch3_plen,ch3_raw_len,ch4_elapsed_s,ch4_ok,ch4_plen,ch4_raw_len,elapsed_s,head_datalen,head_elapsed_s,head_ok,head_plen,head_raw_len,idn_len,idn_ok,idn_str,iter,live,ts
1790156636.22,True,3040,3044,1790156636.723,True,3040,3044,1790156637.227,True,3040,3044,1790156637.731,True,3040,3044,3.516,1520,1790156635.718,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",1,True,1790156634.2150836
1790156639.737,True,3040,3044,1790156640.243,True,3040,3044,1790156640.746,True,3040,3044,1790156641.25,True,3040,3044,3.52,1520,1790156639.233,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",2,True,1790156637.7306392
1790156643.258,True,3040,3044,1790156643.762,True,3040,3044,1790156644.266,True,3040,3044,1790156644.769,True,3040,3044,3.519,1520,1790156642.753,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",3,True,1790156641.2502148
1790156646.776,True,3040,3044,1790156647.279,True,3040,3044,1790156647.782,True,3040,3044,1790156648.288,True,3040,3044,3.518,1520,1790156646.271,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",4,True,1790156644.7694523
1790156650.295,True,3040,3044,1790156650.8,True,3040,3044,1790156651.304,True,3040,3044,1790156651.808,True,3040,3044,3.52,1520,1790156649.789,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",5,True,1790156648.2877162
1790156653.814,True,3040,3044,1790156654.318,True,3040,3044,1790156654.822,True,3040,3044,1790156655.326,True,3040,3044,3.518,1520,1790156653.311,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",6,True,1790156651.807737
1790156657.334,True,3040,3044,1790156657.837,True,3040,3044,1790156658.34,True,3040,3044,1790156658.846,True,3040,3044,3.519,1520,1790156656.829,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",7,True,1790156655.326223
1790156660.854,True,3040,3044,1790156661.359,True,3040,3044,1790156661.863,True,3040,3044,1790156662.366,True,3040,3044,3.521,1520,1790156660.348,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",8,True,1790156658.845708
1790156664.371,True,3040,3044,1790156664.874,True,3040,3044,1790156665.378,True,3040,3044,1790156665.881,True,3040,3044,3.515,1520,1790156663.868,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",9,True,1790156662.3662574
1790156667.889,True,3040,3044,1790156668.392,True,3040,3044,1790156668.896,True,3040,3044,1790156669.401,True,3040,3044,3.52,1520,1790156667.383,True,1248,1252,31,True,"OWON,TAO3104A,2306027,V3.0.0",10,True,1790156665.8810582
