20260804_134623 Capture error: Command '['C:\\Program Files\\sigrok\\sigrok-cli\\sigrok-cli.exe', '--driver', 'fx2lafw', '--config', 'samplerate=1000k', '--channels', 'A0', '--time', '300', '-O', 'csv', '-o', 'C:\\ST\\boyler\\Motor\\_sigrok_tmp\\analog.csv']' returned non-zero exit status 1.
20260804_134623 Capture error: Command '['C:\\Program Files\\sigrok\\sigrok-cli\\sigrok-cli.exe', '--driver', 'fx2lafw', '--config', 'samplerate=1000k', '--channels', 'A1', '--time', '300', '-O', 'csv', '-o', 'C:\\ST\\boyler\\Motor\\_sigrok_tmp\\analog.csv']' returned non-zero exit status 1.
20260804_134623 Capture error: Command '['C:\\Program Files\\sigrok\\sigrok-cli\\sigrok-cli.exe', '--driver', 'fx2lafw', '--config', 'samplerate=1000k', '--channels', 'A2', '--time', '300', '-O', 'csv', '-o', 'C:\\ST\\boyler\\Motor\\_sigrok_tmp\\analog.csv']' returned non-zero exit status 1.
20260804_134623 Capture error: Command '['C:\\Program Files\\sigrok\\sigrok-cli\\sigrok-cli.exe', '--driver', 'fx2lafw', '--config', 'samplerate=1000k', '--channels', 'A3', '--time', '300', '-O', 'csv', '-o', 'C:\\ST\\boyler\\Motor\\_sigrok_tmp\\analog.csv']' returned non-zero exit status 1.
20260804_134705 Capture error: Command '['C:\\Program Files\\sigrok\\sigrok-cli\\sigrok-cli.exe', '--driver', 'fx2lafw', '--config', 'samplerate=1000k', '--channels', 'A0', '--time', '300', '-O', 'csv', '-o', 'C:\\ST\\boyler\\Motor\\_sigrok_tmp\\analog.csv']' returned non-zero exit status 1.
20260804_134705 Capture error: Command '['C:\\Program Files\\sigrok\\sigrok-cli\\sigrok-cli.exe', '--driver', 'fx2lafw', '--config', 'samplerate=1000k', '--channels', 'A1', '--time', '300', '-O', 'csv', '-o', 'C:\\ST\\boyler\\Motor\\_sigrok_tmp\\analog.csv']' returned non-zero exit status 1.
20260804_134705 Capture error: Command '['C:\\Program Files\\sigrok\\sigrok-cli\\sigrok-cli.exe', '--driver', 'fx2lafw', '--config', 'samplerate=1000k', '--channels', 'A2', '--time', '300', '-O', 'csv', '-o', 'C:\\ST\\boyler\\Motor\\_sigrok_tmp\\analog.csv']' returned non-zero exit status 1.
20260804_134705 Capture error: Command '['C:\\Program Files\\sigrok\\sigrok-cli\\sigrok-cli.exe', '--driver', 'fx2lafw', '--config', 'samplerate=1000k', '--channels', 'A3', '--time', '300', '-O', 'csv', '-o', 'C:\\ST\\boyler\\Motor\\_sigrok_tmp\\analog.csv']' returned non-zero exit status 1.
20260804_134711 Capture error: Command '['C:\\Program Files\\sigrok\\sigrok-cli\\sigrok-cli.exe', '--driver', 'fx2lafw', '--config', 'samplerate=1000k', '--channels', 'A0', '--time', '300', '-O', 'csv', '-o', 'C:\\ST\\boyler\\Motor\\_sigrok_tmp\\analog.csv']' returned non-zero exit status 1.
20260804_134711 Capture error: Command '['C:\\Program Files\\sigrok\\sigrok-cli\\sigrok-cli.exe', '--driver', 'fx2lafw', '--config', 'samplerate=1000k', '--channels', 'A1', '--time', '300', '-O', 'csv', '-o', 'C:\\ST\\boyler\\Motor\\_sigrok_tmp\\analog.csv']' returned non-zero exit status 1.
20260804_134711 Capture error: Command '['C:\\Program Files\\sigrok\\sigrok-cli\\sigrok-cli.exe', '--driver', 'fx2lafw', '--config', 'samplerate=1000k', '--channels', 'A2', '--time', '300', '-O', 'csv', '-o', 'C:\\ST\\boyler\\Motor\\_sigrok_tmp\\analog.csv']' returned non-zero exit status 1.
20260804_134711 Capture error: Command '['C:\\Program Files\\sigrok\\sigrok-cli\\sigrok-cli.exe', '--driver', 'fx2lafw', '--config', 'samplerate=1000k', '--channels', 'A3', '--time', '300', '-O', 'csv', '-o', 'C:\\ST\\boyler\\Motor\\_sigrok_tmp\\analog.csv']' returned non-zero exit status 1.
20260804_134715 Capture error: Command '['C:\\Program Files\\sigrok\\sigrok-cli\\sigrok-cli.exe', '--driver', 'fx2lafw', '--config', 'samplerate=1000k', '--channels', 'A0', '--time', '300', '-O', 'csv', '-o', 'C:\\ST\\boyler\\Motor\\_sigrok_tmp\\analog.csv']' returned non-zero exit status 1.
20260804_134716 Capture error: Command '['C:\\Program Files\\sigrok\\sigrok-cli\\sigrok-cli.exe', '--driver', 'fx2lafw', '--config', 'samplerate=1000k', '--channels', 'A1', '--time', '300', '-O', 'csv', '-o', 'C:\\ST\\boyler\\Motor\\_sigrok_tmp\\analog.csv']' returned non-zero exit status 1.
20260804_134716 Capture error: Command '['C:\\Program Files\\sigrok\\sigrok-cli\\sigrok-cli.exe', '--driver', 'fx2lafw', '--config', 'samplerate=1000k', '--channels', 'A2', '--time', '300', '-O', 'csv', '-o', 'C:\\ST\\boyler\\Motor\\_sigrok_tmp\\analog.csv']' returned non-zero exit status 1.
20260804_134716 Capture error: Command '['C:\\Program Files\\sigrok\\sigrok-cli\\sigrok-cli.exe', '--driver', 'fx2lafw', '--config', 'samplerate=1000k', '--channels', 'A3', '--time', '300', '-O', 'csv', '-o', 'C:\\ST\\boyler\\Motor\\_sigrok_tmp\\analog.csv']' returned non-zero exit status 1.
