Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5
0.000000000,0,0,1,1,1,1
0.000085333,0,0,1,0,0,0
0.000214083,0,0,1,1,1,1
0.000243125,0,0,1,0,0,0
0.000412333,0,0,1,1,1,1
0.000441375,0,0,1,0,0,0
0.000610625,0,0,1,1,1,1
0.000639667,0,0,1,0,0,0
0.000808875,0,0,1,1,1,1
0.000837917,0,0,1,0,0,0
0.001007125,0,0,1,1,1,1
0.001036167,0,0,1,0,0,0
0.001205375,0,0,1,1,1,1
0.001234417,0,0,1,0,0,0
0.001403667,0,0,1,1,1,1
0.001432708,0,0,1,0,0,0
0.001602000,0,0,1,1,1,1
0.001631042,0,0,1,0,0,0
0.001800292,0,0,1,0,1,0
0.001800333,0,0,1,1,1,1
0.001829375,0,0,1,0,0,0
0.001998667,0,0,1,1,1,1
0.002027708,0,0,1,0,0,0
0.002197000,0,0,1,1,1,1
0.002226042,0,0,1,0,0,0
0.002395292,0,0,1,1,1,1
0.002424333,0,0,1,0,0,0
0.002593625,0,0,1,1,1,1
0.002622667,0,0,1,0,0,0
0.002791958,0,0,1,1,1,1
0.002821000,0,0,1,0,0,0
0.002990250,0,0,1,1,1,1
0.003019333,0,0,1,0,0,0
0.003188583,0,0,1,1,1,1
0.003217625,0,0,1,0,0,0
0.003386917,0,0,1,1,1,1
0.003415958,0,0,1,0,0,0
0.003585292,0,0,1,1,1,1
0.003614333,0,0,1,0,0,0
0.003783583,0,0,1,1,1,1
0.003812625,0,0,1,0,0,0
0.003981875,0,0,1,1,1,1
0.004010917,0,0,1,0,0,0
0.004180167,0,0,1,1,1,1
0.004209208,0,0,1,0,0,0
0.004378458,0,0,1,1,1,1
0.004407500,0,0,1,0,0,0
0.004576792,0,0,1,1,1,1
0.004605833,0,0,1,0,0,0
0.004775083,0,0,1,1,1,1
0.004804125,0,0,1,0,0,0
0.004973375,0,0,1,1,1,1
0.005002417,0,0,1,0,0,0
0.005171708,0,0,1,1,1,1
0.005200750,0,0,1,0,0,0
0.005370083,0,0,1,1,1,1
0.005399125,0,0,1,0,0,0
0.005568417,0,0,1,1,1,1
0.005597458,0,0,1,0,0,0
0.005766708,0,0,1,1,1,1
0.005795750,0,0,1,0,0,0
0.005965042,0,0,1,1,1,1
0.005994083,0,0,1,0,0,0
0.006163375,0,0,1,1,1,1
0.006192417,0,0,1,0,0,0
0.006361667,0,0,1,1,1,1
0.006390667,0,0,1,0,0,0
0.006559917,0,0,1,1,1,1
0.006588958,0,0,1,0,0,0
0.006758167,0,0,1,1,1,1
0.006787208,0,0,1,0,0,0
0.006956417,0,0,1,1,1,1
0.006985458,0,0,1,0,0,0
0.007154708,0,0,1,1,1,1
0.007183750,0,0,1,0,0,0
0.007353000,0,0,1,1,1,1
0.007382042,0,0,1,0,0,0
0.007551292,0,0,1,1,1,1
0.007580333,0,0,1,0,0,0
0.007749625,0,0,1,1,1,1
0.007778667,0,0,1,1,0,0
0.007778708,0,0,1,0,0,0
0.007947917,0,0,1,1,1,1
0.007976958,0,0,1,0,0,0
0.008146208,0,0,1,1,1,1
0.008175292,0,0,1,0,0,0
0.008344542,0,0,1,1,1,1
0.008373583,0,0,1,0,0,0
0.008542875,0,0,1,1,1,1
0.008571917,0,0,1,0,0,0
0.008741208,0,0,1,1,1,1
0.008770250,0,0,1,0,0,0
0.008939500,0,0,1,1,1,1
0.008968542,0,0,1,0,0,0
0.009137792,0,0,1,1,1,1
0.009166833,0,0,1,0,0,0
0.009336083,0,0,1,1,1,1
0.009365125,0,0,1,0,0,0
0.009534375,0,0,1,1,1,1
0.009563458,0,0,1,0,0,0
0.009732667,0,0,1,1,1,1
0.009761708,0,0,1,0,0,0
0.009930958,0,0,1,1,1,1
0.009960000,0,0,1,0,0,0
0.010129250,0,0,1,1,1,1
0.010158292,0,0,1,0,0,0
0.010327500,0,0,1,1,1,1
0.010356583,0,0,1,0,0,0
0.010525833,0,0,1,1,1,1
0.010554875,0,0,1,0,0,0
0.010724167,0,0,1,1,1,1
0.010753208,0,0,1,0,0,0
0.010922458,0,0,1,1,1,1
0.010951458,0,0,1,1,0,1
0.010951500,0,0,1,0,0,0
0.011120667,0,0,1,1,1,1
0.011149708,0,0,1,0,0,0
0.011318958,0,0,1,1,1,1
0.011348000,0,0,1,0,0,0
0.011517208,0,0,1,1,1,1
0.011546250,0,0,1,0,0,0
0.011715500,0,0,1,1,1,1
0.011744542,0,0,1,0,0,0
0.011913792,0,0,1,1,1,1
0.011942833,0,0,1,0,0,0
0.012112083,0,0,1,1,1,1
0.012141125,0,0,1,0,0,0
0.012310333,0,0,1,0,1,1
0.012310375,0,0,1,1,1,1
0.012339375,0,0,1,1,0,0
0.012339417,0,0,1,0,0,0
0.012508667,0,0,1,1,1,1
0.012537708,0,0,1,0,0,0
0.012707000,0,0,1,1,1,1
0.012736042,0,0,1,0,0,0
0.012905333,0,0,1,1,1,1
0.012934375,0,0,1,1,0,0
0.012934417,0,0,1,0,0,0
0.013103667,0,0,1,1,1,1
0.013132708,0,0,1,0,0,0
0.013302000,0,0,1,1,1,1
0.013331083,0,0,1,0,0,0
0.013500375,0,0,1,1,1,1
0.013529417,0,0,1,0,0,0
0.013698708,0,0,1,1,1,1
0.013727792,0,0,1,0,0,0
0.013897125,0,0,1,1,1,1
0.013926167,0,0,1,0,0,0
0.014095500,0,0,1,1,1,1
0.014124542,0,0,1,0,0,0
0.014293875,0,0,1,1,1,1
0.014322917,0,0,1,0,0,0
0.014492208,0,0,1,1,1,1
0.014521250,0,0,1,0,0,0
0.014690583,0,0,1,1,1,1
0.014719625,0,0,1,0,0,0
0.014888958,0,0,1,1,1,1
0.014918000,0,0,1,0,0,0
0.015087333,0,0,1,1,1,1
0.015116375,0,0,1,0,0,0
0.015285708,0,0,1,1,1,1
0.015314750,0,0,1,0,0,0
0.015484083,0,0,1,1,1,1
0.015513125,0,0,1,0,0,0
0.015682458,0,0,1,1,1,1
0.015711500,0,0,1,0,0,0
0.015880792,0,0,1,1,1,1
0.015909875,0,0,1,0,0,0
0.016079208,0,0,1,1,1,1
0.016108250,0,0,1,0,0,0
0.016277583,0,0,1,1,1,1
0.016306625,0,0,1,0,0,0
0.016475958,0,0,1,1,1,1
0.016505000,0,0,1,0,0,0
0.016674333,0,0,1,1,1,1
0.016703375,0,0,1,0,0,0
0.016872708,0,0,1,1,1,1
0.016901750,0,0,1,0,0,0
0.017071042,0,0,1,1,1,1
0.017100125,0,0,1,0,0,0
