Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5
0.000000000,0,0,1,1,1,1
1.974611833,1,0,1,1,1,1
1.974613292,1,1,1,1,1,1
2.150708833,0,0,0,1,1,1
2.150711750,0,0,1,1,1,1
2.150712000,0,0,0,0,0,1
2.150712042,0,0,0,0,0,0
2.150712083,0,0,0,0,0,1
2.150712167,0,0,0,0,0,0
2.150712208,0,0,0,0,0,1
2.150712292,0,0,0,0,0,0
2.150712333,0,0,0,0,0,1
2.150712417,0,0,0,0,0,0
2.150712458,0,0,0,0,0,1
2.150712542,0,0,0,0,0,0
2.150712583,0,0,0,0,0,1
2.150712667,0,0,1,0,0,0
2.150712708,0,0,1,0,0,1
2.150712792,0,0,1,0,0,0
2.150712833,0,0,1,0,0,1
2.150712917,0,0,1,0,0,0
2.150712958,0,0,1,0,0,1
2.150713042,0,0,1,0,0,0
2.150713083,0,0,1,0,0,1
2.150713167,0,0,1,0,0,0
2.150713208,0,0,1,0,0,1
2.150713250,0,0,1,0,0,0
2.150714083,0,0,1,1,0,0
2.150714125,0,0,1,1,1,0
2.150714542,0,0,1,1,1,1
2.582193542,1,0,1,1,1,1
2.582195042,1,1,1,1,1,1
2.738721042,0,0,0,1,1,1
2.738723958,0,0,1,1,1,1
2.738724208,0,0,0,0,0,1
2.738724250,0,0,0,0,0,0
2.738724292,0,0,0,0,0,1
2.738724375,0,0,0,0,0,0
2.738724458,0,0,0,0,0,1
2.738724500,0,0,0,0,0,0
2.738724542,0,0,0,0,0,1
2.738724625,0,0,0,0,0,0
2.738724667,0,0,0,0,0,1
2.738724750,0,0,0,0,0,0
2.738724792,0,0,0,0,0,1
2.738724833,0,0,1,0,0,1
2.738724875,0,0,1,0,0,0
2.738724917,0,0,1,0,0,1
2.738725000,0,0,1,0,0,0
2.738725042,0,0,1,0,0,1
2.738725125,0,0,1,0,0,0
2.738725167,0,0,1,0,0,1
2.738725250,0,0,1,0,0,0
2.738725292,0,0,1,0,0,1
2.738725375,0,0,1,0,0,0
2.738725417,0,0,1,0,0,1
2.738725458,0,0,1,0,0,0
2.738726292,0,0,1,1,0,0
2.738726333,0,0,1,1,1,0
2.738726750,0,0,1,1,1,1
3.243685208,1,0,1,1,1,1
3.243686667,1,1,1,1,1,1
3.414794667,0,0,0,1,1,1
3.414797583,0,0,1,1,1,1
3.414797833,0,0,0,0,0,1
3.414797875,0,0,0,0,0,0
3.414797917,0,0,0,0,0,1
3.414798000,0,0,0,0,0,0
3.414798042,0,0,0,0,0,1
3.414798125,0,0,0,0,0,0
3.414798167,0,0,0,0,0,1
3.414798250,0,0,0,0,0,0
3.414798292,0,0,0,0,0,1
3.414798375,0,0,0,0,0,0
3.414798417,0,0,0,0,0,1
3.414798458,0,0,1,0,0,1
3.414798500,0,0,1,0,0,0
3.414798542,0,0,1,0,0,1
3.414798625,0,0,1,0,0,0
3.414798667,0,0,1,0,0,1
3.414798750,0,0,1,0,0,0
3.414798792,0,0,1,0,0,1
3.414798875,0,0,1,0,0,0
3.414798917,0,0,1,0,0,1
3.414799000,0,0,1,0,0,0
3.414799042,0,0,1,0,0,1
3.414799083,0,0,1,0,0,0
3.414799917,0,0,1,1,0,0
3.414800000,0,0,1,1,1,0
3.414800375,0,0,1,1,1,1
3.939412542,1,0,1,1,1,1
3.939414000,1,1,1,1,1,1
4.105812583,0,0,0,1,1,1
4.105815500,0,0,1,1,1,1
4.105815792,0,0,0,0,0,1
4.105815875,0,0,0,0,0,0
4.105815917,0,0,0,0,0,1
4.105816000,0,0,0,0,0,0
4.105816042,0,0,0,0,0,1
4.105816125,0,0,0,0,0,0
4.105816167,0,0,0,0,0,1
4.105816250,0,0,0,0,0,0
4.105816292,0,0,0,0,0,1
4.105816375,0,0,0,0,0,0
4.105816417,0,0,1,0,0,1
4.105816500,0,0,1,0,0,0
4.105816542,0,0,1,0,0,1
4.105816625,0,0,1,0,0,0
4.105816667,0,0,1,0,0,1
4.105816750,0,0,1,0,0,0
4.105816792,0,0,1,0,0,1
4.105816875,0,0,1,0,0,0
4.105816917,0,0,1,0,0,1
4.105817000,0,0,1,0,0,0
4.105817875,0,0,1,1,0,0
4.105817917,0,0,1,1,1,0
4.105818333,0,0,1,1,1,1
4.651306917,1,0,1,1,1,1
4.651308375,1,1,1,1,1,1
4.827317792,0,0,0,1,1,1
4.827320708,0,0,1,1,1,1
4.827320958,0,0,0,0,0,1
4.827321000,0,0,0,0,0,0
4.827321083,0,0,0,0,0,1
4.827321125,0,0,0,0,0,0
4.827321208,0,0,0,0,0,1
4.827321250,0,0,0,0,0,0
4.827321333,0,0,0,0,0,1
4.827321375,0,0,0,0,0,0
4.827321458,0,0,0,0,0,1
4.827321500,0,0,0,0,0,0
4.827321583,0,0,1,0,0,1
4.827321625,0,0,1,0,0,0
4.827321708,0,0,1,0,0,1
4.827321750,0,0,1,0,0,0
4.827321833,0,0,1,0,0,1
4.827321875,0,0,1,0,0,0
4.827321958,0,0,1,0,0,1
4.827322000,0,0,1,0,0,0
4.827322083,0,0,1,0,0,1
4.827322125,0,0,1,0,0,0
4.827323042,0,0,1,1,0,0
4.827323083,0,0,1,1,1,0
4.827323500,0,0,1,1,1,1
5.276201042,1,0,1,1,1,1
5.276202500,1,1,1,1,1,1
5.452523375,0,0,0,1,1,1
5.452526292,0,0,1,1,1,1
5.452526583,0,0,0,0,0,0
5.452526625,0,0,0,0,0,1
5.452526708,0,0,0,0,0,0
5.452526750,0,0,0,0,0,1
5.452526833,0,0,0,0,0,0
5.452526875,0,0,0,0,0,1
5.452526958,0,0,0,0,0,0
5.452527000,0,0,0,0,0,1
5.452527083,0,0,0,0,0,0
5.452527125,0,0,0,0,0,1
5.452527208,0,0,1,0,0,0
5.452527250,0,0,1,0,0,1
5.452527333,0,0,1,0,0,0
5.452527375,0,0,1,0,0,1
5.452527458,0,0,1,0,0,0
5.452527500,0,0,1,0,0,1
5.452527583,0,0,1,0,0,0
5.452527625,0,0,1,0,0,1
5.452527708,0,0,1,0,0,0
5.452527750,0,0,1,0,0,1
5.452527792,0,0,1,0,0,0
5.452528625,0,0,1,1,0,0
5.452528667,0,0,1,1,1,0
5.452529083,0,0,1,1,1,1
5.938951000,1,0,1,1,1,1
5.938952500,1,1,1,1,1,1
6.100468750,0,0,0,1,1,1
6.100471667,0,0,1,1,1,1
6.100471958,0,0,0,0,0,0
6.100472000,0,0,0,0,0,1
6.100472042,0,0,0,0,0,0
6.100472125,0,0,0,0,0,1
6.100472208,0,0,0,0,0,0
6.100472250,0,0,0,0,0,1
6.100472292,0,0,0,0,0,0
6.100472375,0,0,0,0,0,1
6.100472417,0,0,0,0,0,0
6.100472500,0,0,0,0,0,1
6.100472542,0,0,0,0,0,0
6.100472583,0,0,1,0,0,0
6.100472625,0,0,1,0,0,1
6.100472667,0,0,1,0,0,0
6.100472750,0,0,1,0,0,1
6.100472792,0,0,1,0,0,0
6.100472875,0,0,1,0,0,1
6.100472917,0,0,1,0,0,0
6.100473000,0,0,1,0,0,1
6.100473042,0,0,1,0,0,0
6.100473125,0,0,1,0,0,1
6.100473167,0,0,1,0,0,0
