Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5
0.000000000,0,0,1,0,0,0
0.000249708,0,0,1,1,1,1
0.000278750,0,0,1,0,0,0
0.000447958,0,0,1,1,1,1
0.000477000,0,0,1,0,0,0
0.000646250,0,0,1,1,1,1
0.000675292,0,0,1,0,0,0
0.000844542,0,0,1,1,1,1
0.000873583,0,0,1,0,0,0
0.001042875,0,0,1,1,1,1
0.001071917,0,0,1,0,0,0
0.001241125,0,0,1,0,1,1
0.001241167,0,0,1,1,1,1
0.001270167,0,0,1,0,0,0
0.001439458,0,0,1,1,1,1
0.001468500,0,0,1,0,0,0
0.001637792,0,0,1,1,1,1
0.001666833,0,0,1,0,0,0
0.001836125,0,0,1,1,1,1
0.001865167,0,0,1,0,0,0
0.002034417,0,0,1,1,1,1
0.002063458,0,0,1,0,0,0
0.002232750,0,0,1,1,1,1
0.002261792,0,0,1,0,0,0
0.002431083,0,0,1,1,1,1
0.002460167,0,0,1,0,0,0
0.002629417,0,0,1,1,1,1
0.002658458,0,0,1,0,0,0
0.002827708,0,0,1,1,1,1
0.002856750,0,0,1,0,0,0
0.003025917,0,0,1,1,1,1
0.003054958,0,0,1,0,0,0
0.003224167,0,0,1,1,1,1
0.003253208,0,0,1,0,0,0
0.003422417,0,0,1,1,1,1
0.003451458,0,0,1,0,0,0
0.003620667,0,0,1,1,1,1
0.003649708,0,0,1,0,0,0
0.003818958,0,0,1,1,1,1
0.003848000,0,0,1,0,0,0
0.004017250,0,0,1,1,1,1
0.004046292,0,0,1,0,0,0
0.004215500,0,0,1,1,1,1
0.004244542,0,0,1,0,0,0
0.004413792,0,0,1,1,1,1
0.004442833,0,0,1,0,0,0
0.004612042,0,0,1,0,1,1
0.004612083,0,0,1,1,1,1
0.004641083,0,0,1,0,0,0
0.004810333,0,0,1,1,1,1
0.004839375,0,0,1,0,0,0
0.005008542,0,0,1,1,1,1
0.005037583,0,0,1,0,0,0
0.005206792,0,0,1,1,1,1
0.005235833,0,0,1,0,0,0
0.005405000,0,0,1,1,1,1
0.005434042,0,0,1,0,0,0
0.005603250,0,0,1,1,1,1
0.005632292,0,0,1,0,0,0
0.005801500,0,0,1,1,1,1
0.005830542,0,0,1,0,0,0
0.005999708,0,0,1,1,1,1
0.006028750,0,0,1,0,0,0
0.006198000,0,0,1,1,1,1
0.006227042,0,0,1,0,0,0
0.006396292,0,0,1,1,1,1
0.006425375,0,0,1,0,0,0
0.006594625,0,0,1,1,1,1
0.006623667,0,0,1,0,0,0
0.006792958,0,0,1,1,1,1
0.006822000,0,0,1,0,0,0
0.006991292,0,0,1,1,1,1
0.007020333,0,0,1,0,0,0
0.007189583,0,0,1,1,1,1
0.007218625,0,0,1,0,0,0
0.007387875,0,0,1,1,1,1
0.007416917,0,0,1,0,0,0
0.007586167,0,0,1,1,1,1
0.007615208,0,0,1,0,0,0
0.007784458,0,0,1,1,1,1
0.007813500,0,0,1,0,0,0
0.007982708,0,0,1,1,1,1
0.008011750,0,0,1,0,0,0
0.008181000,0,0,1,1,1,1
0.008210042,0,0,1,0,0,0
0.008379250,0,0,1,1,1,1
0.008408292,0,0,1,0,0,0
0.008577542,0,0,1,1,1,1
0.008606583,0,0,1,0,0,0
0.008775792,0,0,1,1,1,1
0.008804833,0,0,1,0,0,0
0.008974083,0,0,1,1,1,1
0.009003083,0,0,1,0,0,0
0.009172292,0,0,1,1,1,1
0.009201333,0,0,1,0,0,0
0.009370542,0,0,1,1,1,1
0.009399583,0,0,1,0,0,0
0.009568792,0,0,1,1,1,1
0.009597833,0,0,1,0,0,0
0.009767042,0,0,1,1,1,1
0.009796083,0,0,1,0,0,0
0.009965292,0,0,1,1,1,1
0.009994333,0,0,1,0,0,0
0.010163583,0,0,1,1,1,1
0.010192625,0,0,1,0,0,0
0.010361833,0,0,1,1,1,1
0.010390875,0,0,1,0,0,0
0.010560125,0,0,1,1,1,1
0.010589125,0,0,1,0,0,0
0.010758333,0,0,1,1,1,1
0.010787375,0,0,1,0,0,0
0.010956583,0,0,1,1,1,1
0.010985625,0,0,1,0,0,0
0.011154833,0,0,1,1,1,1
0.011183875,0,0,1,0,0,0
0.011353083,0,0,1,1,1,1
0.011382125,0,0,1,0,0,0
0.011551292,0,0,1,1,1,1
0.011580333,0,0,1,0,0,0
0.011749542,0,0,1,1,1,1
0.011778583,0,0,1,0,0,0
0.011947792,0,0,1,1,1,1
