Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5
0.000000000,0,0,1,0,0,0
0.000178542,0,0,1,1,1,1
0.000207583,0,0,1,0,0,0
0.000376833,0,0,1,1,1,1
0.000405875,0,0,1,0,0,0
0.000575125,0,0,1,1,1,1
0.000604167,0,0,1,0,0,0
0.000773375,0,0,1,1,1,1
0.000802417,0,0,1,0,0,0
0.000971667,0,0,1,1,1,1
0.001000708,0,0,1,0,0,0
0.001169958,0,0,1,1,1,1
0.001199000,0,0,1,0,0,0
0.001368208,0,0,1,1,1,1
0.001397250,0,0,1,0,0,0
0.001566542,0,0,1,1,1,1
0.001595583,0,0,1,0,0,0
0.001764833,0,0,1,1,1,1
0.001793875,0,0,1,0,0,0
0.001963125,0,0,1,1,1,1
0.001992167,0,0,1,0,0,0
0.002161458,0,0,1,1,1,1
0.002190500,0,0,1,0,0,0
0.002359708,0,0,1,1,1,1
0.002388792,0,0,1,0,0,0
0.002558083,0,0,1,1,1,1
0.002587125,0,0,1,0,0,0
0.002756375,0,0,1,1,1,1
0.002785458,0,0,1,0,0,0
0.002954708,0,0,1,1,1,1
0.002983750,0,0,1,0,0,0
0.003153000,0,0,1,1,1,1
0.003182042,0,0,1,0,0,0
0.003351292,0,0,1,1,1,1
0.003380333,0,0,1,0,0,0
0.003549583,0,0,1,1,1,1
0.003578625,0,0,1,0,0,0
0.003747875,0,0,1,1,1,1
0.003776917,0,0,1,0,0,0
0.003946167,0,0,1,1,1,1
0.003975208,0,0,1,0,0,0
0.004144458,0,0,1,1,1,1
0.004173500,0,0,1,0,0,0
0.004342750,0,0,1,1,1,1
0.004371833,0,0,1,0,0,0
0.004541083,0,0,1,1,1,1
0.004570125,0,0,1,1,0,0
0.004570167,0,0,1,0,0,0
0.004739417,0,0,1,1,1,1
0.004768458,0,0,1,0,0,0
0.004937750,0,0,1,1,1,1
0.004966792,0,0,1,0,0,0
0.005136042,0,0,1,1,1,1
0.005165083,0,0,1,0,0,0
0.005334333,0,0,1,1,1,1
0.005363417,0,0,1,0,0,0
0.005532667,0,0,1,1,1,1
0.005561708,0,0,1,0,0,0
0.005731000,0,0,1,1,1,1
0.005760042,0,0,1,0,0,0
0.005929292,0,0,1,1,1,1
0.005958333,0,0,1,0,0,0
0.006127625,0,0,1,1,1,1
0.006156667,0,0,1,0,0,0
0.006325917,0,0,1,1,1,1
0.006354958,0,0,1,0,0,0
0.006524208,0,0,1,1,1,1
0.006553250,0,0,1,0,0,0
0.006722500,0,0,1,1,1,1
0.006751542,0,0,1,0,0,0
0.006920833,0,0,1,1,1,1
0.006949875,0,0,1,0,0,0
0.007119125,0,0,1,1,1,1
0.007148167,0,0,1,0,0,0
0.007317417,0,0,1,1,1,1
0.007346458,0,0,1,0,0,0
0.007515667,0,0,1,1,1,1
0.007544708,0,0,1,0,0,0
0.007713958,0,0,1,1,1,1
0.007743000,0,0,1,0,0,0
0.007912250,0,0,1,1,1,1
0.007941292,0,0,1,0,0,0
0.008110542,0,0,1,1,1,1
0.008139583,0,0,1,0,0,0
0.008308875,0,0,1,1,1,1
0.008337917,0,0,1,0,0,0
