Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5
0.000000000,0,0,1,0,0,0
0.000085333,0,0,1,1,1,1
0.000098667,0,0,1,0,0,0
0.000267917,0,0,1,1,1,1
0.000297000,0,0,1,0,0,0
0.000466292,0,0,1,1,1,1
0.000495333,0,0,1,0,0,0
0.000664625,0,0,1,1,1,1
0.000693708,0,0,1,0,0,0
0.000863000,0,0,1,1,1,1
0.000892042,0,0,1,0,0,0
0.001061333,0,0,1,1,1,1
0.001090417,0,0,1,0,0,0
0.001259708,0,0,1,1,1,1
0.001288792,0,0,1,0,0,0
0.001458042,0,0,1,1,1,1
0.001487083,0,0,1,0,0,0
0.001656375,0,0,1,1,1,1
0.001685417,0,0,1,0,0,0
0.001854750,0,0,1,1,1,1
0.001883833,0,0,1,0,0,0
0.002053125,0,0,1,1,1,1
0.002082167,0,0,1,0,0,0
0.002251500,0,0,1,1,1,1
0.002280542,0,0,1,0,0,0
0.002449833,0,0,1,1,1,1
0.002478875,0,0,1,0,0,0
0.002648208,0,0,1,1,1,1
0.002677250,0,0,1,0,0,0
0.002846500,0,0,1,1,1,1
0.002875583,0,0,1,0,0,0
0.003044833,0,0,1,1,1,1
0.003073917,0,0,1,0,0,0
0.003243208,0,0,1,1,1,1
0.003272250,0,0,1,0,0,0
0.003441542,0,0,1,1,1,1
0.003470625,0,0,1,0,0,0
0.003639875,0,0,1,1,1,1
0.003668917,0,0,1,1,0,0
0.003668958,0,0,1,0,0,0
0.003838208,0,0,1,1,1,1
0.003867292,0,0,1,0,0,0
0.004036542,0,0,1,0,1,0
0.004036583,0,0,1,1,1,1
0.004065625,0,0,1,0,0,0
0.004234833,0,0,1,1,1,1
0.004263875,0,0,1,0,0,0
0.004433125,0,0,1,1,1,1
0.004462167,0,0,1,0,0,0
0.004631417,0,0,1,1,1,1
0.004660458,0,0,1,0,0,0
0.004829667,0,0,1,1,1,1
0.004858708,0,0,1,0,0,0
0.005027958,0,0,1,1,1,1
0.005057000,0,0,1,0,0,0
0.005226208,0,0,1,1,1,1
0.005255250,0,0,1,0,0,0
0.005424500,0,0,1,1,1,1
0.005453542,0,0,1,0,0,0
0.005622792,0,0,1,1,1,1
0.005651833,0,0,1,0,0,0
0.005821125,0,0,1,1,1,1
0.005850167,0,0,1,0,0,0
0.006019417,0,0,1,1,1,1
0.006048458,0,0,1,0,0,0
0.006217708,0,0,1,1,1,1
0.006246750,0,0,1,0,0,0
0.006415958,0,0,1,1,1,1
0.006445042,0,0,1,0,0,0
0.006614250,0,0,1,1,1,1
0.006643292,0,0,1,0,0,0
0.006812542,0,0,1,1,1,1
0.006841583,0,0,1,0,0,0
0.007010833,0,0,1,1,1,1
0.007039875,0,0,1,0,0,0
0.007209167,0,0,1,1,1,1
0.007238208,0,0,1,0,0,0
0.007407500,0,0,1,1,1,1
0.007436542,0,0,1,0,0,0
0.007605792,0,0,1,1,1,1
0.007634833,0,0,1,0,0,0
0.007804125,0,0,1,1,1,1
0.007833167,0,0,1,0,0,0
0.008002417,0,0,1,1,1,1
0.008031458,0,0,1,0,0,0
0.008200708,0,0,1,1,1,1
0.008229750,0,0,1,0,0,0
0.008398958,0,0,1,1,1,1
0.008428000,0,0,1,0,0,0
0.008597250,0,0,1,1,1,1
0.008626292,0,0,1,0,0,0
0.008795542,0,0,1,1,1,1
0.008824583,0,0,1,0,0,0
0.008993833,0,0,1,1,1,1
0.009022917,0,0,1,0,0,0
0.009192167,0,0,1,1,1,1
0.009221208,0,0,1,0,0,0
0.009390500,0,0,1,1,1,1
0.009419542,0,0,1,0,0,0
0.009588750,0,0,1,1,1,1
0.009617792,0,0,1,0,0,0
0.009787000,0,0,1,0,1,1
0.009787042,0,0,1,1,1,1
0.009816042,0,0,1,0,0,0
0.009985250,0,0,1,1,1,1
0.010014292,0,0,1,0,0,0
0.010183500,0,0,1,1,1,1
0.010212542,0,0,1,0,0,0
0.010381750,0,0,1,1,1,1
0.010410750,0,0,1,1,0,0
0.010410792,0,0,1,0,0,0
0.010580000,0,0,1,1,1,1
0.010609042,0,0,1,0,0,0
0.010778333,0,0,1,1,1,1
0.010807375,0,0,1,0,0,0
0.010976625,0,0,1,1,1,1
0.011005667,0,0,1,0,0,0
0.011174958,0,0,1,1,1,1
0.011204000,0,0,1,0,0,0
0.011373292,0,0,1,1,1,1
0.011402333,0,0,1,0,0,0
0.011571625,0,0,1,1,1,1
0.011600667,0,0,1,1,0,0
0.011600708,0,0,1,0,0,0
0.011769958,0,0,1,1,1,1
0.011799000,0,0,1,0,0,0
0.011968292,0,0,1,1,1,1
0.011997333,0,0,1,0,0,0
0.012166625,0,0,1,1,1,1
0.012195667,0,0,1,0,0,0
0.012364917,0,0,1,1,1,1
0.012393958,0,0,1,0,0,0
0.012563250,0,0,1,1,1,1
0.012592292,0,0,1,0,0,0
0.012761583,0,0,1,1,1,1
0.012790667,0,0,1,0,0,0
0.012959958,0,0,1,1,1,1
0.012989000,0,0,1,0,0,0
0.013158208,0,0,1,1,1,1
0.013187250,0,0,1,0,0,0
0.013356500,0,0,1,1,1,1
0.013385583,0,0,1,0,0,0
0.013554875,0,0,1,1,1,1
0.013583917,0,0,1,0,0,0
0.013753208,0,0,1,1,1,1
0.013782250,0,0,1,0,0,0
0.013951542,0,0,1,1,1,1
